IsRaceOn,TimestampMS,EngineMaxRpm,EngineIdleRpm,CurrentEngineRpm,AccelerationX,AccelerationY,AccelerationZ,VelocityX,VelocityY,VelocityZ,AngularVelocityX,AngularVelocityY,AngularVelocityZ,Yaw,Pitch,Roll,NormalizedSuspensionTravelFrontLeft,NormalizedSuspensionTravelFrontRight,NormalizedSuspensionTravelRearLeft,NormalizedSuspensionTravelRearRight,TireSlipRatioFrontLeft,TireSlipRatioFrontRight,TireSlipRatioRearLeft,TireSlipRatioRearRight,WheelRotationSpeedFrontLeft,WheelRotationSpeedFrontRight,WheelRotationSpeedRearLeft,WheelRotationSpeedRearRight,WheelOnRumbleStripFrontLeft,WheelOnRumbleStripFrontRight,WheelOnRumbleStripRearLeft,WheelOnRumbleStripRearRight,WheelInPuddleDepthFrontLeft,WheelInPuddleDepthFrontRight,WheelInPuddleDepthRearLeft,WheelInPuddleDepthRearRight,SurfaceRumbleFrontLeft,SurfaceRumbleFrontRight,SurfaceRumbleRearLeft,SurfaceRumbleRearRight,TireSlipAngleFrontLeft,TireSlipAngleFrontRight,TireSlipAngleRearLeft,TireSlipAngleRearRight,TireCombinedSlipRatioFrontLeft,TireCombinedSlipRatioFrontRight,TireCombinedSlipRatioRearLeft,TireCombinedSlipRatioRearRight,SuspensionTravelMetersFrontLeft,SuspensionTravelMetersFrontRight,SuspensionTravelMetersRearLeft,SuspensionTravelMetersRearRight,CarOrdinal,CarClass,CarPerformanceIndex,DrivetrainType,NumCylinders
1,2587437,8199.995,799.9995,5262.112,0.1317708,1.375832,4.389589,0.09429789,-0.1342275,28.06887,-0.01639111,0.01542649,-0.06730881,1.740834,0.01728474,-0.1047169,0.4120438,0.3642928,0.5542681,0.5280111,0.1950041,0.1553086,-0.002037073,-0.001672409,88.04451,87.4846,85.74088,85.67192,0,0,0,0,0,0,0,0,0,0,0,0,-0.02851736,-0.02570202,0.000500628,-0.02545123,0.1970783,0.157421,0.002097688,0.02550612,0.002678305,-0.003845036,0.02210781,0.01852079,2870,3,573,0,4
1,2587453,8199.995,799.9995,5280.056,0.1151302,1.218253,4.376415,0.08929205,-0.1286086,28.1403,-0.005301163,0.01663389,-0.05866136,1.741119,0.01715101,-0.1057494,0.3997736,0.35813,0.5410949,0.5241069,0.1999307,0.1636521,-0.002111439,-0.001755524,88.31042,87.78684,85.94652,85.87154,0,0,0,0,0,0,0,0,0,0,0,0,-0.02843782,-0.02547981,0.000660571,-0.02380822,0.2019431,0.1656238,0.002212358,0.02387285,0.001002051,-0.004686952,0.0203082,0.01798744,2870,3,573,0,4
1,2587468,8199.995,799.9995,5299.743,0.157869,1.016582,4.332825,0.08483696,-0.1242663,28.21115,0.003723138,0.01749875,-0.05078173,1.741404,0.01718422,-0.1066451,0.3833239,0.3492067,0.5250108,0.5158652,0.2031468,0.1702691,-0.002219461,-0.001872782,88.57007,88.07777,86.15186,86.07255,0,0,0,0,0,0,0,0,0,0,0,0,-0.02820407,-0.02533197,0.000237687,-0.02205884,0.2050954,0.1721432,0.002232152,0.0221382,-0.001245171,-0.005905978,0.01811092,0.01686153,2870,3,573,0,4
1,2587484,8199.995,799.9995,5319.493,0.1434249,0.7726234,4.321241,0.08090162,-0.1216228,28.28175,0.0105415,0.01810485,-0.04394051,1.741686,0.01734483,-0.1074192,0.3656697,0.3382024,0.5223472,0.5209423,0.2087079,0.1778043,-0.002308313,-0.001972615,88.85153,88.37775,86.35903,86.27664,0,0,0,0,0,0,0,0,0,0,0,0,-0.02785584,-0.02521764,0.000401882,-0.02138627,0.2105587,0.1795836,0.002343036,0.02147705,-0.003656931,-0.007409297,0.01774704,0.01755512,2870,3,573,0,4
1,2587500,8199.995,799.9995,5339.209,0.1846533,0.5348014,4.299193,0.07727957,-0.1188526,28.35246,0.01718618,0.01864009,-0.0378406,1.741966,0.01762074,-0.1080865,0.3599719,0.3396301,0.5188196,0.518779,0.2143078,0.1848752,-0.002369265,-0.002047988,89.12198,88.66077,86.56646,86.48115,0,0,0,0,0,0,0,0,0,0,0,0,-0.02764674,-0.02501386,0.000843994,-0.02075786,0.2160837,0.1865597,0.002515103,0.02085864,-0.004435331,-0.007214256,0.01726513,0.01725959,2870,3,573,0,4
1,2587515,8199.995,799.9995,5356.765,0.2083632,0.3334041,4.282418,0.0739646,-0.1145521,28.42444,0.020254,0.01875543,-0.03274746,1.742242,0.017974,-0.1086619,0.3560158,0.3394134,0.5094379,0.5083452,0.210896,0.1811573,-0.002498745,-0.002223802,89.30601,88.84219,86.78086,86.69445,0,0,0,0,0,0,0,0,0,0,0,0,-0.02725483,-0.02487915,0.000556179,-0.01928238,0.2126498,0.1828577,0.002559895,0.01941019,-0.004975773,-0.007243849,0.01598348,0.0158342,2870,3,573,0,4
1,2587531,8199.995,799.9995,5370.177,0.2700055,0.1737481,4.293073,0.07106256,-0.1104943,28.49738,0.02022154,0.01859806,-0.02876986,1.742515,0.01834752,-0.1091639,0.3508641,0.3357079,0.4986919,0.4978297,0.2108935,0.182954,-0.002626176,-0.002372304,89.53101,89.08788,87.00147,86.91555,0,0,0,0,0,0,0,0,0,0,0,0,-0.02666914,-0.02462501,1.92E-05,-0.01801482,0.212573,0.1846038,0.002626246,0.01817035,-0.005679555,-0.007750072,0.01451546,0.01439767,2870,3,573,0,4
1,2587546,8199.995,799.9995,5378.965,0.2830055,0.04182893,4.332788,0.06862879,-0.1074696,28.57149,0.01760689,0.01826359,-0.02587924,1.742785,0.01869359,-0.1096086,0.3461994,0.3328561,0.484975,0.484878,0.2112958,0.1854185,-0.002744268,-0.002509736,89.75953,89.34473,87.22897,87.14436,0,0,0,0,0,0,0,0,0,0,0,0,-0.02598974,-0.02432914,-0.000830431,-0.01663994,0.2128881,0.1870078,0.002867163,0.01682815,-0.006316811,-0.008139655,0.01264156,0.01262832,2870,3,573,0,4
1,2587578,8199.995,799.9995,5386.772,0.3102352,-0.05416948,4.373137,0.06657076,-0.1058972,28.64637,0.01273545,0.01780417,-0.0237397,1.743057,0.01897412,-0.1100133,0.3419853,0.3307886,0.4679345,0.4706258,0.2049743,0.1815655,-0.002831275,-0.002598427,89.91367,89.53333,87.46185,87.37949,0,0,0,0,0,0,0,0,0,0,0,0,-0.02525434,-0.0240329,-0.002098511,-0.01523278,0.2065242,0.1831491,0.003524183,0.01545282,-0.00689251,-0.008422107,0.01031364,0.01068129,2870,3,573,0,4
1,2587593,8199.995,799.9995,5393.827,0.3177063,-0.1170806,4.393548,0.0647893,-0.1062233,28.72137,0.005794309,0.01723879,-0.02186028,1.74333,0.01915141,-0.1103864,0.3370835,0.3295269,0.4588783,0.4654012,0.1978471,0.1756437,-0.002885404,-0.002642738,90.07192,89.69961,87.69822,87.6187,0,0,0,0,0,0,0,0,0,0,0,0,-0.02447894,-0.02375153,-0.003026081,-0.01448917,0.1993557,0.1772423,0.004181235,0.01472821,-0.007562146,-0.008594468,0.009076446,0.009967551,2870,3,573,0,4
1,2587609,8199.995,799.9995,5401.512,0.327914,-0.1348853,4.424369,0.0630393,-0.1071869,28.7963,-0.00150845,0.01664785,-0.01929069,1.743608,0.01920866,-0.1107219,0.3404039,0.339356,0.4568625,0.4645534,0.1906251,0.1659137,-0.002843752,-0.002611677,90.21152,89.80756,87.93589,87.85902,0,0,0,0,0,0,0,0,0,0,0,0,-0.02388967,-0.02353786,-0.003281291,-0.01457178,0.1921163,0.167575,0.004342096,0.01480398,-0.007108539,-0.007251695,0.008801073,0.009851731,2870,3,573,0,4
1,2587625,8199.995,799.9995,5409.652,0.3453766,-0.08285429,4.430162,0.06110287,-0.1069766,28.87122,-0.009778425,0.01598596,-0.01652738,1.743889,0.01913445,-0.1110106,0.347754,0.3511018,0.4537086,0.4605615,0.1779268,0.1520156,-0.002786566,-0.002581635,90.29731,89.89326,88.17485,88.10072,0,0,0,0,0,0,0,0,0,0,0,0,-0.02333584,-0.02327384,-0.003641774,-0.01438097,0.1794506,0.1537869,0.004585572,0.01461086,-0.006104425,-0.005647078,0.008370213,0.009306394,2870,3,573,0,4
1,2587640,8199.995,799.9995,5416.396,0.346516,0.02002455,4.448874,0.05922222,-0.1070781,28.94566,-0.01838372,0.01534668,-0.01477205,1.744175,0.01891811,-0.1112618,0.3535544,0.3577991,0.4511998,0.457597,0.1698652,0.1470858,-0.002729748,-0.002543773,90.44279,90.08607,88.41286,88.3415,0,0,0,0,0,0,0,0,0,0,0,0,-0.02266013,-0.02276253,-0.003845484,-0.01412394,0.17137,0.1488367,0.004715853,0.01435118,-0.005312033,-0.004732154,0.008027479,0.008901402,2870,3,573,0,4
1,2587656,8199.995,799.9995,5424.601,0.3451545,0.1443349,4.446044,0.05759382,-0.1084616,29.01963,-0.02667011,0.01474337,-0.01403774,1.744467,0.01855994,-0.1114948,0.3589249,0.3643711,0.4496624,0.4557496,0.1613751,0.1424528,-0.002644063,-0.002476772,90.58309,90.27401,88.64944,88.58068,0,0,0,0,0,0,0,0,0,0,0,0,-0.02194098,-0.02211908,-0.003859402,-0.01388338,0.1628599,0.1441598,0.004678253,0.01410258,-0.004578359,-0.003834344,0.007817447,0.008649029,2870,3,573,0,4
1,2587671,8199.995,799.9995,5434.164,0.4042884,0.2761779,4.442277,0.06900597,-0.1112838,29.09192,-0.03411426,0.02018582,-0.00126568,1.744795,0.01807328,-0.1116545,0.3641373,0.3703728,0.4491524,0.4546114,0.1568952,0.1430288,-0.002815261,-0.002030044,90.84532,90.62384,88.89133,88.80623,0,0,0,0,0,0,0,0,0,0,0,0,0.08555923,0.08692925,-0.005203097,-0.01513183,0.1787078,0.1673737,0.005915903,0.01526739,-0.003866285,-0.003014438,0.007747784,0.008493535,2870,3,573,0,4
1,2587687,8199.995,799.9995,5447.875,0.840018,0.4079975,4.396181,0.09550142,-0.1153414,29.16316,-0.0403236,0.03607012,0.01978418,1.745352,0.01749965,-0.1114435,0.3688049,0.373723,0.4472119,0.4602341,0.1510644,0.1594647,-0.002729825,-0.001945621,90.95309,90.91723,89.15722,88.99167,0,0,0,0,0,0,0,0,0,0,0,0,0.0816502,0.08215605,-0.009082101,-0.01926455,0.1717184,0.1793839,0.009483485,0.01936255,-0.003228627,-0.002556756,0.007482678,0.009261668,2870,3,573,0,4
1,2587703,8199.995,799.9995,5465.153,1.251567,0.5343301,4.347348,0.1163292,-0.1195946,29.23287,-0.04431605,0.05306481,0.03368871,1.746193,0.0168741,-0.1109569,0.3784119,0.3841182,0.463773,0.4704505,0.1435996,0.164738,-0.002538272,-0.00182744,91.12591,91.15438,89.4189,89.16975,0,0,0,0,0,0,0,0,0,0,0,0,0.09123801,0.09156628,-0.007834085,-0.02013081,0.1701329,0.1884754,0.00823503,0.02021359,-0.0019162,-0.001136661,0.009745121,0.01065734,2870,3,573,0,4
1,2587718,8199.995,799.9995,5483.748,1.611075,0.6834323,4.306772,0.1336513,-0.120871,29.3017,-0.04624233,0.07100178,0.04271157,1.747328,0.01623608,-0.1102824,0.3949822,0.3930385,0.4782636,0.4767996,0.1379262,0.1693246,-0.002381384,-0.001757756,91.3198,91.40195,89.6766,89.33981,0,0,0,0,0,0,0,0,0,0,0,0,0.1026331,0.1026582,-0.003831439,-0.01829277,0.171922,0.198014,0.004511198,0.01837702,0.000347488,8.20E-05,0.01172471,0.01152471,2870,3,573,0,4
1,2587734,8199.995,799.9995,5502.649,1.97135,0.8390374,4.259746,0.1471982,-0.1214509,29.3698,-0.04673503,0.08953322,0.04841677,1.748771,0.01561225,-0.1094904,0.400146,0.3959591,0.4880314,0.4788003,0.1391486,0.1799841,-0.002289778,-0.001731937,91.60354,91.70389,89.93086,89.5037,0,0,0,0,0,0,0,0,0,0,0,0,0.1152345,0.115125,0.00163295,-0.01398022,0.1806691,0.213654,0.002812403,0.0140871,0.001052931,0.00048095,0.01305911,0.01179803,2870,3,573,0,4
